trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.987}",20,0,-60.63622622386325,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.974169}",25,0,-140.48744265984385,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.961504803}",20,0,-107.85938641016494,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.949005240561}",25,0,-200.97892304593304,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
5,False,"{'a': 0.9, 'e': 0.936668172433707}",25,9,-100.94179617339516,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 2}",1
6,False,"{'a': 0.9, 'e': 0.9244914861920688}",25,0,-102.75330997637582,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.9124730968715719}",25,0,-120.94831666338004,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.9006109466122414}",25,0,-180.56106834125552,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.8889030043062822}",20,0,-36.21831842554946,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.8773472652503005}",30,0,-56.703993588604995,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.8659417508020466}",20,0,-84.03510958940521,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.9, 'e': 0.85468450804162}",30,0,-169.2160314426717,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.8435736094370789}",20,0,-67.53161715652104,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.8326071525143969}",25,0,-129.0776898067529,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.8217832595317097}",35,0,-96.12529996565442,"{0: 22, 1: 6, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.8111000771577975}",20,0,-158.28392155592442,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.9, 'e': 0.8005557761547462}",20,0,-42.347410774359545,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.7901485510647345}",20,1,-28.933551859866785,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.779876619900893}",25,0,-136.0316551425754,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.7697382238421814}",20,13,-26.381160610748662,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.9, 'e': 0.7597316269322331}",20,3,-42.16111464182367,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.7498551157821141}",20,0,-111.30125561737792,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.9, 'e': 0.7401069992769466}",20,0,-130.7098255375528,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
24,False,"{'a': 0.9, 'e': 0.7304856082863462}",20,0,-108.80907661395527,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
25,False,"{'a': 0.9, 'e': 0.7209892953786238}",25,0,-34.54203562146713,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.9, 'e': 0.7116164345387016}",30,0,-118.94863370789169,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
27,False,"{'a': 0.9, 'e': 0.7023654208896984}",30,0,-281.9257205258233,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 6}",0
28,False,"{'a': 0.9, 'e': 0.6932346704181324}",20,0,-14.117771545538949,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.9, 'e': 0.6842226197026966}",25,0,-85.40970513029066,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.9, 'e': 0.6753277256465615}",20,9,20.273411677866953,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.6665484652131562}",25,18,10.35454758264475,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.6578833351653852}",25,0,-31.798720474413866,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.9, 'e': 0.6493308518082352}",20,0,-33.81296516492737,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.9, 'e': 0.6408895507347282}",20,0,-53.39266220035725,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.9, 'e': 0.6325579865751767}",20,0,-60.26883026540858,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
36,False,"{'a': 0.9, 'e': 0.6243347327496994}",25,0,-62.09976101351439,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
37,False,"{'a': 0.9, 'e': 0.6162183812239533}",25,14,-9.503015265232516,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.608207542268042}",20,4,-15.120609535831267,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.9, 'e': 0.6003008442185575}",25,0,-92.22651949911254,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.9, 'e': 0.5924969332437162}",30,0,-70.3451147120842,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
41,False,"{'a': 0.9, 'e': 0.5847944731115479}",20,0,-35.3672887928359,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.9, 'e': 0.5771921449610977}",35,22,4.404483334745578,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.5696886470766035}",25,0,-39.09981976116124,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.5622826946646077}",25,15,6.645954327015933,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.5549730196339677}",30,0,-126.4891946384556,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0.9, 'e': 0.5477583703787261}",20,14,11.071496649620993,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.5406375115638027}",20,0,13.976467996414495,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.9, 'e': 0.5336092239134732}",25,0,-3.19794881557445,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
