trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.98175072771949,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,9,-118.35933441683837,"{0: 7, 1: 4, 2: 3, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.64338483886192,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.93182394009277,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,13,-16.564627557054003,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,11,-20.92725099983081,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,17,7.811883273593052,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.10511810973537,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.52894571676855,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.89535168280483,"{0: 13, 1: 8, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.01918400090845,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.72992049904771,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.93921653091711,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.53401700667676,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.19441476161086,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.16035528748485,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,16,-84.98581392244944,"{0: 7, 1: 3, 2: 2, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.99314659406154,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.15661304494022,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.95980259240115,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.10271796957896,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.03754170505783,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.76660706696265,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,13,-64.45987322911405,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-239.4703065514636,"{0: 16, 1: 1, 2: 9, 3: 0, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.06866768742298,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.25082234502443,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-107.7253538694326,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-183.9603355924962,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-107.66064882210418,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
